Lat,Lon,Title,rank,Country,2021 pop.,2020 pop.,Growth,popDiff,popChg
25.4936418,103.7943084,Qujing,571,China,976171,942342,0.0359,33829,grew
13.8610918,100.3456772,Nonthaburi,572,Thailand,975497,962694,0.0133,12803,grew
27.81697,114.4112498,Yichun Jiangxi,573,China,975387,918051,0.0625,57336,grew
45.0352566,38.9764814,Krasnodar,574,Russia,974377,957214,0.0179,17163,grew
8.4963657,4.5480484,Ilorin,575,Nigeria,973671,949866,0.0251,23805,grew
21.1617854,-86.8510468,Cancun,576,Mexico,971798,943922,0.0295,27876,grew
-6.4230495,20.7887691,Tshikapa,577,DR Congo,970831,919192,0.0562,51639,grew
12.0505098,24.8795115,Nyala,578,Sudan,967430,922532,0.0487,44898,grew
35.9068588,117.76243,Xintai,579,China,966759,936382,0.0324,30377,grew
45.2928513,130.9619259,Jixi Heilongjiang,580,China,963278,949646,0.0144,13632,grew
-15.8241847,35.053104,Blantyre-Limbe,581,Malawi,962145,932263,0.0321,29882,grew
19.7027116,-101.1923818,Morelia,582,Mexico,961834,948793,0.0137,13041,grew
27.6603206,113.8830806,Pingxiang Jiangxi,583,China,953042,928895,0.026,24147,grew
48.4680221,35.0417711,Dnipro,584,Ukraine,951821,957345,-0.0058,5524,declined
22.9372087,89.2852741,Khulna,585,Bangladesh,949229,953745,-0.0047,4516,declined
31.7788242,35.2257626,Jerusalem,586,Israel,944188,931756,0.0133,12432,grew
45.9893785,23.2575051,Cucuta,587,Colombia,943489,933380,0.0108,10109,grew
43.7009358,7.2683912,Nice,588,France,943342,942208,0.0012,1134,grew
30.3255646,78.0436813,Dehradun,589,India,943136,918946,0.0263,24190,grew
37.4201556,127.1262092,Seongnam,590,South Korea,942342,943768,-0.0015,1426,declined
32.753177,-97.3327459,Fort Worth,591,United States,942323,925954,0.0177,16369,grew
30.4211144,-9.5830626,Agadir,592,Morocco,941839,923552,0.0198,18287,grew
44.5498406,129.6259558,Mudanjiang,593,China,941660,925522,0.0174,16138,grew
23.3515642,58.7213422,Hamah,594,Syria,939904,921502,0.02,18402,grew
38.5762709,68.7863573,Dushanbe,595,Tajikistan,938444,915712,0.0248,22732,grew
23.3916357,110.074064,Guiping,596,China,937152,891158,0.0516,45994,grew
29.6653828,115.9474861,Jiujiang,597,China,936927,913212,0.026,23715,grew
50.9025349,-1.404189,Southampton,598,United Kingdom,935868,927916,0.0086,7952,grew
36.2030789,117.654083,Laiwu,599,China,934916,907839,0.0298,27077,grew
-16.3988667,-71.5369607,Arequipa,600,Peru,934845,922999,0.0128,11846,grew
8.3223763,-62.6896622,Ciudad Guayana,601,Venezuela,933968,917700,0.0177,16268,grew
6.9046909,122.076462,Zamboanga City,602,Philippines,930610,917477,0.0143,13133,grew
19.333333,-96.666667,Veracruz,603,Mexico,930387,918529,0.0129,11858,grew
30.3321838,-81.655651,Jacksonville,604,United States,929647,920577,0.0099,9070,grew
15.5062156,-88.0248937,San Pedro Sula,605,Honduras,929191,902751,0.0293,26440,grew
27.702973,115.49664,Zhucheng,606,China,926596,891494,0.0394,35102,grew
14.048667,100.5640405,Pathum Thani,607,Thailand,925893,913741,0.0133,12152,grew
24.4611511,88.6888703,Rajshahi,608,Bangladesh,924033,907732,0.018,16301,grew
40.957718,117.9543248,Chengde,609,China,920395,880494,0.0453,39901,grew
32.3745318,15.0904886,Misratah,610,Libya,918946,881319,0.0427,37627,grew
23.1144539,109.5946193,Guigang,611,China,917484,891173,0.0295,26311,grew
9.9175125,8.8979401,Jos,612,Nigeria,917289,895288,0.0246,22001,grew
26.0704018,-98.2963932,Reynosa,613,Mexico,917021,899084,0.02,17937,grew
32.9176422,117.3825673,Bengbu,614,China,915242,901773,0.0149,13469,grew
39.9622601,-83.0007065,Columbus,615,United States,913921,906237,0.0085,7684,grew
18.0018152,-92.9330401,Villahermosa,616,Mexico,913606,898461,0.0169,15145,grew
21.8603337,111.9776773,Yangjiang,617,China,912468,890013,0.0252,22455,grew
35.2272086,-80.8430827,Charlotte,618,United States,912096,898902,0.0147,13194,grew
35.5391697,129.3119136,Ulsan,619,South Korea,910778,910330,0.0005,448,grew
4.3907153,18.5509126,Bangui,620,Central African Republic,910270,889231,0.0237,21039,grew
35.7032751,-0.6492976,Oran,621,Algeria,910030,899182,0.0121,10848,grew
43.3545179,42.4311796,West Rand,622,South Africa,909301,897609,0.013,11692,grew
5.489736,7.0341973,Owerri,623,Nigeria,908109,872604,0.0407,35505,grew
-20.4640173,-54.6162947,Campo Grande,624,Brazil,907028,896864,0.0113,10164,grew
53.4071991,-2.99168,Liverpool,625,United Kingdom,906443,901708,0.0053,4735,grew
14.5870262,121.1758611,Antipolo,626,Philippines,902993,881018,0.0249,21975,grew
32.0010227,44.3299926,Najaf,627,Iraq,901405,873744,0.0317,27661,grew
24.5164639,117.6424895,Zhangzhou,628,China,900904,871690,0.0335,29214,grew
45.7566557,9.7542192,Bergamo,629,Italy,900094,892089,0.009,8005,grew
48.0158753,37.8013407,Donetsk,630,Ukraine,899325,905530,-0.0069,6205,declined
30.6635516,113.1616191,Tianmen,631,China,899094,869837,0.0336,29257,grew
5.517,5.75,Warri,632,Nigeria,898927,855941,0.0502,42986,grew
-23.3112878,-51.1595023,Londrina,633,Brazil,898681,885516,0.0149,13165,grew
26.40396,112.934066,Leiyang,634,China,896394,851071,0.0533,45323,grew
-7.9771206,112.6340291,Malang,635,Indonesia,896009,886620,0.0106,9389,grew
-34.9206797,-57.9537638,La Plata,636,Argentina,894159,884054,0.0114,10105,grew
-36.8270795,-73.0502399,Concepcion,637,Chile,891744,880722,0.0125,11022,grew
37.7364305,115.6677229,Hengshui,638,China,891603,856705,0.0407,34898,grew
36.0885338,111.512998,Linfen,639,China,891049,858103,0.0384,32946,grew
27.853572,114.8867147,Xinyu,640,China,890884,857567,0.0389,33317,grew
24.5910781,91.7177362,Sylhet,641,Bangladesh,890180,851808,0.045,38372,grew
40.128668,124.3863404,Dandong,642,China,890031,877258,0.0146,12773,grew
39.7683331,-86.1583502,Indianapolis,643,United States,887232,881808,0.0062,5424,grew
-14.966969,39.2707752,Nampula,644,Mozambique,887055,848096,0.0459,38959,grew
31.1244028,104.39013,Deyang,645,China,885818,857306,0.0333,28512,grew
29.0948207,-110.9692202,Hermosillo,646,Mexico,883916,867885,0.0185,16031,grew
37.7790262,-122.419906,San Francisco,647,United States,883255,882402,0.001,853,grew
39.4605657,-5.8816626,Trujillo,648,Peru,877875,864633,0.0153,13242,grew
13.4115414,43.5570871,Taiz,649,Yemen,875941,845154,0.0364,30787,grew
16.2915189,80.4541588,Guntur,650,India,875474,854488,0.0246,20986,grew
31.9092756,120.2630426,Jiangyin,651,China,874924,843292,0.0375,31632,grew
19.3625308,73.0784747,Bhiwandi,652,India,874032,859435,0.017,14597,grew
-14.9191779,13.4896316,Lubango,653,Angola,870935,828248,0.0515,42687,grew
41.273887,123.1693463,Liaoyang,654,China,870185,855663,0.017,14522,grew
29.394644,71.6638747,Bahawalpur,655,Pakistan,869548,844673,0.0294,24875,grew
36.1829336,113.0985394,Changzhi,656,China,868308,846365,0.0259,21943,grew
57.153534,65.542274,Tyumen,657,Russia,866741,843196,0.0279,23545,grew
-25.5263889,28.0994444,Soshanguve,658,South Africa,866005,853347,0.0148,12658,grew
16.753801,-93.115959,Tuxtla Gutierrez,659,Mexico,865000,847924,0.0201,17076,grew
37.9404648,58.3823487,Ashgabat,660,Turkmenistan,864695,846255,0.0218,18440,grew
36.1911624,44.0094652,Erbil,661,Iraq,861158,846374,0.0175,14784,grew
41.9316387,126.4200169,Baishan,662,China,859381,821967,0.0455,37414,grew
27.6500795,113.4923249,Liling,663,China,857167,812975,0.0544,44192,grew
22.9912348,120.184982,Tainan,664,Taiwan,856736,849996,0.0079,6740,grew
11.9340568,79.8306447,Puducherry,665,India,856354,836003,0.0243,20351,grew
24.7978965,-107.393395,Culiacan,666,Mexico,856072,839054,0.0203,17018,grew
29.034552,111.6928724,Changde,667,China,853497,830010,0.0283,23487,grew
42.0151733,121.6452868,Fuxin,668,China,850647,839189,0.0137,11458,grew
38.1112268,13.3524434,Palermo,669,Italy,850179,851146,-0.0011,967,declined
34.4168215,115.6507447,Shangqiu,670,China,850165,826598,0.0285,23567,grew
37.0616519,114.499746,Xingtai,671,China,849674,831175,0.0223,18499,grew
25.4100012,49.580833,Hufuf-Mubarraz,672,Saudi Arabia,848479,836727,0.014,11752,grew
27.1773663,78.389912,Firozabad,673,India,845746,821043,0.0301,24703,grew
0.390002,9.454001,Libreville,674,Gabon,845100,834204,0.0131,10896,grew
30.200255,115.0333466,Huangshi,675,China,844307,828324,0.0193,15983,grew
51.530018,46.034683,Saratov,676,Russia,840883,842680,-0.0021,1797,declined
31.9553965,35.8906094,Banghazi,677,Libya,836031,823974,0.0146,12057,grew
39.4697065,-0.3763353,Valencia,678,Spain,835341,833724,0.0019,1617,grew
28.8744722,105.4385063,Luzhou,679,China,833637,822996,0.0129,10641,grew
46.8137431,-71.2084061,Quebec City,680,Canada,831776,826109,0.0069,5667,grew
28.7701941,104.6289601,Yibin,681,China,831013,814166,0.0207,16847,grew
37.5014422,126.7660139,Bucheon,682,South Korea,829592,832093,-0.003,2501,declined
4.5986817,101.0900236,Ipoh,683,Malaysia,827719,813553,0.0174,14166,grew
49.8955367,-97.1384584,Winnipeg,684,Canada,824771,816593,0.01,8178,grew
24.8500662,89.3728431,Bogra,685,Bangladesh,820297,775034,0.0584,45263,grew
